City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
95,Albany,US,42.6,-73.97,72.0,36,100,2.44,
96,Soimi,RO,46.68,22.12,43.0,93,0,4.7,
97,Chokurdakh,RU,70.63,147.92,2.53,95,100,6.46,
98,Pacific Grove,US,36.62,-121.92,55.4,66,40,3.58,
99,Tauranga,NZ,-37.69,176.17,64.99,88,34,8.01,
100,Oyon,PE,-10.67,-76.77,62.96,30,84,4.92,
101,Avera,US,33.19,-82.53,77.0,65,40,10.29,
102,Vestmanna,FO,62.16,-7.17,39.2,86,75,7.25,
103,Grindavik,IS,63.84,-22.43,41.0,80,75,29.97,
104,Ukiah,US,39.15,-123.21,51.01,70,1,3.71,
105,Bandar-E Lengeh,IR,26.56,54.88,77.0,73,0,4.7,
106,Cidreira,BR,-30.18,-50.21,70.56,74,0,15.08,
107,Chuy,UY,-33.7,-53.46,68.81,71,23,11.92,
108,San Cristobal,VE,7.77,-72.22,84.2,70,40,16.11,
109,Nikolskoye,RU,59.7,30.79,48.2,81,90,11.18,
110,Babati,TZ,-4.22,35.75,69.62,52,0,5.88,
111,Saldanha,ZA,-33.01,17.94,64.4,72,0,14.99,
112,Saint Anthony,US,45.02,-93.22,70.0,63,1,13.87,
113,Agropoli,IT,40.35,15.0,57.0,80,0,1.99,
114,Albury,AU,-36.08,146.92,48.2,81,0,2.98,
115,Bayburt,TR,40.26,40.23,36.01,84,8,1.97,
116,Menongue,AO,-14.66,17.69,71.58,61,91,5.82,
117,Araouane,ML,18.9,-3.53,86.79,13,0,9.57,
118,Sinnamary,GF,5.38,-52.95,84.18,74,24,14.88,
119,Souillac,MU,-20.52,57.52,73.4,78,40,8.05,
120,San Francisco Del Mar,MX,16.23,-94.65,85.93,58,54,20.69,
121,Camacha,PT,33.08,-16.33,68.0,77,40,8.05,
122,Tessalit,ML,20.2,1.01,78.57,17,100,11.5,
123,Provideniya,RU,64.38,-173.3,29.23,94,10,9.75,
124,Isangel,VU,-19.55,169.27,77.36,81,1,7.31,
125,Maniitsoq,GL,65.42,-52.9,22.03,87,100,15.1,
126,Newport,GB,51.59,-3.0,53.01,92,38,1.01,
127,Castro,BR,-24.79,-50.01,79.97,33,0,4.68,
128,Henties Bay,NA,-22.12,14.28,61.0,89,0,5.99,
129,Bilma,NE,18.69,12.92,72.72,26,0,7.11,
130,Saint Marys,US,30.73,-81.55,80.6,69,1,16.11,
131,Terra Rica,BR,-22.71,-52.62,94.98,20,0,3.56,
132,Ahipara,NZ,-35.17,173.17,61.7,85,91,11.56,
133,Nantucket,US,41.28,-70.1,66.2,63,1,10.29,
134,Nalut,LY,30.33,10.85,62.8,42,0,11.68,
135,Puerto Narino,CO,-3.77,-70.38,87.8,70,75,4.7,
136,Lavumisa,SZ,-27.31,31.89,75.0,83,85,3.02,
137,Clyde River,CA,70.47,-68.59,-2.2,84,20,4.7,
138,Bonavista,CA,48.65,-53.11,51.01,70,100,14.99,
139,Roald,NO,62.58,6.13,45.0,87,75,3.36,
140,Morehead,US,37.27,-87.18,78.8,31,1,3.36,
141,Garowe,SO,8.41,48.48,75.78,64,35,17.11,
142,Tateyama,JP,34.98,139.87,63.0,56,99,8.99,
143,Dumas,US,35.87,-101.97,72.0,42,1,18.34,
144,Leshukonskoye,RU,64.9,45.76,34.72,89,100,7.99,
145,Jibuti,DJ,11.5,42.5,82.4,65,40,15.73,
146,Kaitangata,NZ,-46.28,169.85,48.0,72,100,5.99,
147,Santa Rosa,PH,14.31,121.11,75.2,88,90,8.05,
148,Rafaela,AR,-31.25,-61.49,87.01,22,0,5.01,
149,Oussouye,SN,12.48,-16.55,91.4,70,0,4.7,
150,Hasaki,JP,35.73,140.83,59.0,93,75,4.7,
151,New Norfolk,AU,-42.78,147.06,42.01,72,6,2.57,
152,Ixtapa,MX,20.7,-105.2,86.0,51,5,2.24,
153,Tomatlan,MX,19.93,-105.25,88.93,50,61,6.93,
154,Hithadhoo,MV,-0.6,73.08,83.3,73,86,8.16,
155,Fortuna,US,40.6,-124.16,53.01,81,75,17.22,
156,Tatawin,TN,32.93,10.45,68.0,52,0,7.45,
157,Tambura,SS,5.6,27.47,74.14,83,100,2.89,
158,Mbandaka,CD,0.05,18.26,73.85,88,100,1.77,
159,Aklavik,CA,68.22,-135.01,28.4,63,75,6.93,
160,Kavieng,PG,-2.57,150.8,82.31,70,26,8.7,
161,Hovin,NO,63.11,10.22,43.0,92,100,2.77,
162,Devils Lake,US,48.11,-98.87,30.2,92,90,11.41,
163,Ghorawal,IN,24.77,82.78,63.52,37,0,2.44,
164,Ponta Do Sol,PT,32.67,-17.1,68.0,64,40,6.93,
165,Noumea,NC,-22.28,166.46,78.01,94,90,2.24,
166,Camocim,BR,-2.9,-40.84,88.02,56,96,20.67,
167,Datong,CN,40.09,113.29,32.95,70,0,5.77,
168,Kropotkin,RU,45.44,40.58,53.01,52,94,14.67,
169,Alice Springs,AU,-23.7,133.88,62.6,21,0,5.82,
170,Bathurst,AU,-33.42,149.58,44.01,89,0,4.74,
171,Georgetown,MY,5.41,100.34,78.8,88,40,4.7,
172,Takoradi,GH,4.88,-1.76,79.23,86,96,8.14,
173,Bundaberg,AU,-24.85,152.35,73.0,60,90,14.99,
174,Nome,US,64.5,-165.41,37.4,86,40,11.41,
175,Bluff,NZ,-46.6,168.33,46.99,74,6,10.0,
176,Yatou,CN,37.15,122.38,49.39,51,0,18.59,
177,Meulaboh,ID,4.14,96.13,76.68,86,99,4.03,
178,Tsiroanomandidy,MG,-18.77,46.03,75.06,66,100,2.17,
179,Diepenbeek,BE,50.91,5.42,51.8,81,100,4.7,
180,Kapit,MY,2.02,112.93,73.87,94,100,0.34,
181,Trairi,BR,-3.28,-39.27,84.45,62,8,15.52,
182,Te Anau,NZ,-45.42,167.72,40.66,88,98,6.13,
183,Srivardhan,IN,18.03,73.02,78.03,66,0,4.83,
184,Shimoda,JP,34.67,138.95,62.01,91,95,18.77,
185,Sayyan,YE,15.17,44.32,54.55,38,12,2.93,
186,Heihe,CN,50.24,127.49,23.0,100,75,6.71,
187,Bathsheba,BB,13.22,-59.52,86.0,74,40,17.22,
188,Pangnirtung,CA,66.15,-65.71,12.2,85,90,9.17,
189,Ambatofinandrahana,MG,-20.55,46.8,68.86,75,85,2.68,
190,Marsh Harbour,BS,26.54,-77.06,79.56,75,100,26.17,
191,Airai,TL,-8.93,125.41,62.6,59,89,1.86,
192,Nizhnyaya Omka,RU,55.43,74.94,38.21,73,100,10.6,
193,Leningradskiy,RU,69.38,178.42,20.39,96,100,13.38,
194,Bridlicna,CZ,49.91,17.37,45.0,84,0,5.41,
195,Bambous Virieux,MU,-20.34,57.76,73.4,78,40,8.05,
196,Sarh,TD,9.14,18.39,82.4,65,0,2.39,
197,Taoudenni,ML,22.68,-3.98,86.38,14,99,6.87,
198,Kyra,RU,49.58,111.98,10.38,88,0,4.12,
199,Kemijarvi,FI,66.71,27.43,34.36,83,0,13.53,
200,Ovsyanka,RU,55.96,92.55,42.8,81,40,8.95,
201,Coquimbo,CL,-29.95,-71.34,64.4,63,40,11.41,
202,Olafsvik,IS,64.89,-23.71,41.09,69,85,28.95,
203,Pevek,RU,69.7,170.31,17.46,97,100,2.89,
204,Miri,MY,4.41,114.01,78.8,94,40,3.36,
205,Sao Luiz Gonzaga,BR,-28.41,-54.96,90.21,23,0,6.91,
206,Kaele,CM,10.11,14.45,81.72,24,36,5.77,
207,Nouadhibou,MR,20.93,-17.03,77.0,61,0,11.41,
208,Kirakira,SB,-10.45,161.92,78.84,82,42,5.12,
209,East London,ZA,-33.02,27.91,71.6,83,0,9.17,
210,Coahuayana,MX,18.73,-103.68,80.6,61,20,5.88,
211,Yulara,AU,-25.24,130.99,75.2,14,97,8.05,
212,Manokwari,ID,-0.87,134.08,79.77,74,96,3.96,
213,Ancud,CL,-41.87,-73.82,64.4,55,0,9.17,
214,Salalah,OM,17.02,54.09,77.0,61,0,4.7,
215,Manadhoo,MV,5.77,73.38,83.55,75,100,11.43,
216,Port Hardy,CA,50.7,-127.42,42.8,60,20,19.46,
217,Praia Da Vitoria,PT,38.73,-27.07,61.0,77,40,19.1,
218,Kupang,ID,-10.17,123.58,79.56,76,3,3.02,
219,Bay Roberts,CA,47.6,-53.26,50.0,84,56,11.01,
220,Aurillac,FR,44.92,2.45,59.0,72,90,20.8,
221,Sosnovo-Ozerskoye,RU,52.52,111.54,7.68,93,73,7.18,
222,Akureyri,IS,65.68,-18.09,42.8,60,75,17.22,
223,Maine-Soroa,NE,13.21,12.02,77.25,19,0,7.81,
224,Goure,NE,13.98,10.27,79.0,23,0,4.0,
225,Tanout,NE,14.97,8.89,77.67,18,0,11.21,
226,Camana,PE,-16.62,-72.71,64.56,74,98,4.54,
227,Cabo San Lucas,MX,22.89,-109.91,84.0,74,75,8.05,
228,Gorontalo,ID,0.54,123.06,75.96,83,100,2.48,
229,Hofn,IS,64.25,-15.21,41.31,79,99,10.98,
230,Saint-Pierre,RE,-21.34,55.48,73.4,78,75,17.22,
231,Nanortalik,GL,60.14,-45.24,32.41,90,100,6.42,
232,Stony Plain,CA,53.53,-114.0,25.0,100,90,14.99,
233,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,74,75,9.17,
234,Praia,CV,14.92,-23.51,86.0,55,0,10.29,
235,Palakkad,IN,10.78,76.65,77.0,83,40,2.24,
236,Xai-Xai,MZ,-25.05,33.64,87.62,46,0,13.62,
237,Talara,PE,-4.58,-81.27,68.13,73,65,12.33,
238,Kolochava,UA,48.43,23.7,42.55,82,0,1.81,
239,Sakakah,SA,29.97,40.21,68.0,40,0,8.05,
240,Hami,CN,42.8,93.45,35.4,75,73,2.57,
241,Hovd,MN,48.01,91.64,27.99,89,54,0.47,
242,Flin Flon,CA,54.77,-101.86,19.4,67,90,5.82,
243,Puertollano,ES,38.69,-4.11,57.0,95,0,5.5,
244,Beringovskiy,RU,63.05,179.32,27.81,86,0,5.01,
245,Hede,CN,33.77,120.25,54.21,63,0,3.78,
246,Codrington,AU,-38.27,141.97,40.53,93,6,6.73,
247,Luderitz,NA,-26.65,15.16,63.32,85,0,5.82,
248,Sao Filipe,CV,14.9,-24.5,79.52,77,49,12.8,
249,Louis Trichardt,ZA,-23.04,29.9,82.09,34,0,3.42,
250,Quatre Cocos,MU,-20.21,57.76,73.4,78,40,8.05,
251,Saint-Georges,GD,12.06,-61.75,86.0,79,20,20.8,
252,Xinzhou,CN,38.41,112.73,37.04,62,0,0.43,
253,Andenes,NO,69.31,16.12,37.4,64,100,32.21,
254,Phetchaburi,TH,12.97,99.58,77.0,88,59,4.09,
255,Padang,ID,-0.95,100.35,77.23,81,100,3.78,
256,Polovinnoye,RU,54.79,65.99,39.58,90,100,11.65,
257,Yar-Sale,RU,66.83,70.83,29.17,99,97,3.06,
258,Ilulissat,GL,69.22,-51.1,12.2,66,40,3.2,
259,Acapulco,MX,16.86,-99.89,86.0,70,5,3.36,
260,Goderich,CA,43.75,-81.72,60.8,59,100,16.11,
261,Coihaique,CL,-45.58,-72.07,66.2,37,0,5.82,
262,Buchanan,LR,5.88,-10.05,79.5,84,100,6.33,
263,San Carlos De Bariloche,AR,-41.15,-71.31,75.2,19,40,9.17,
264,Mar Del Plata,AR,-38.0,-57.56,64.4,88,40,10.09,
265,Talnakh,RU,69.49,88.4,17.6,92,75,11.18,
266,Pervomayskiy,RU,53.25,40.29,39.0,78,0,9.44,
267,Ashington,GB,50.93,-0.39,51.8,93,3,6.93,
268,Arraial Do Cabo,BR,-22.97,-42.03,77.0,61,75,11.41,
269,Derzhavinsk,KZ,51.1,66.32,43.29,63,99,6.91,
270,Saint-Augustin,CA,51.23,-58.65,34.34,80,0,19.17,
271,Point Pedro,LK,9.82,80.23,82.26,80,82,13.33,
272,Lima,PE,-12.04,-77.03,68.0,68,90,11.41,
273,Saskylakh,RU,71.92,114.08,-9.02,89,5,6.71,
274,Skibbereen,IE,51.55,-9.27,53.6,93,90,13.87,
275,Amapa,BR,1.0,-52.0,82.9,80,100,3.4,
276,Whitianga,NZ,-36.83,175.7,63.0,91,73,8.99,
277,Ulladulla,AU,-35.35,150.47,55.4,71,90,4.7,
278,Thiruvarur,IN,10.77,79.65,77.59,87,0,7.56,
279,Porto Santo,PT,33.07,-16.34,68.0,77,40,8.05,
280,Broome,US,42.25,-75.83,69.01,45,1,5.82,
281,Ratlam,IN,23.32,75.07,66.72,36,0,4.7,
282,Namatanai,PG,-3.67,152.43,79.32,76,74,5.26,
283,Bida,NG,9.08,6.02,81.91,30,15,3.38,
284,Annigeri,IN,15.43,75.43,72.54,83,35,11.07,
285,Dire Dawa,ET,9.59,41.87,69.64,66,62,2.26,
286,Stanislav,UA,46.57,32.15,44.6,87,0,4.47,
287,Japura,ID,-0.32,102.35,74.05,97,86,3.67,
288,Coos Bay,US,43.37,-124.22,48.0,93,90,5.82,
289,Ossora,RU,59.24,163.07,27.81,89,99,5.99,
290,Otradnoye,RU,59.78,30.82,48.0,86,98,11.77,
291,Moscow,RU,55.75,37.62,71.06,93,0,8.95,
292,Nata,PA,8.33,-80.52,84.2,70,20,6.93,
293,Ushtobe,KZ,45.25,77.98,46.51,44,100,5.57,
294,Cabra,ES,37.47,-4.44,59.0,87,20,2.24,
295,Sal Rei,CV,16.18,-22.92,82.4,65,0,14.99,
296,Qaqortoq,GL,60.72,-46.03,30.2,74,75,4.7,
297,Saint George,US,37.1,-113.58,59.0,30,40,23.04,
298,Seminole,US,28.71,-81.21,84.2,51,40,20.8,
299,Mukhen,RU,48.1,136.1,26.67,98,100,3.65,
300,Samarai,PG,-10.62,150.67,80.89,83,1,8.55,
301,Victor Harbor,AU,-35.57,138.62,52.0,82,0,9.42,
302,Aljezur,PT,37.32,-8.8,61.84,85,1,8.19,
303,Rio Gallegos,AR,-51.62,-69.22,66.2,35,0,17.22,
304,Pimentel,PE,-6.84,-79.93,73.4,53,0,16.11,
305,Katherine,AU,-14.47,132.27,78.8,65,3,4.7,
306,Asau,RO,46.43,26.4,39.0,97,0,2.1,
307,Sisimiut,GL,66.94,-53.67,16.52,87,98,16.37,
308,Grand Gaube,MU,-20.01,57.66,73.0,73,0,1.99,
309,Cabedelo,BR,-6.98,-34.83,84.2,70,40,18.34,
310,Kitami,JP,43.8,143.89,46.0,87,73,5.01,
311,Tasiilaq,GL,65.61,-37.64,28.4,92,90,4.7,
312,Maragogi,BR,-9.01,-35.22,80.22,78,28,13.82,
313,Havre-Saint-Pierre,CA,50.23,-63.6,35.6,47,1,11.41,
314,Los Llanos De Aridane,ES,28.66,-17.92,71.6,60,20,2.24,
315,Marau,BR,-28.45,-52.2,86.34,27,0,6.33,
316,Bealanana,MG,-14.55,48.73,61.86,86,65,2.8,
317,Fare,PF,-16.7,-151.02,79.74,75,38,10.74,
318,Vila Velha,BR,-20.33,-40.29,78.8,78,20,10.29,
319,Bentiu,SS,9.23,29.83,78.84,34,0,2.08,
320,Kokoda,PG,-8.88,147.74,73.13,71,81,1.16,
321,Viedma,AR,-40.81,-63.0,75.99,36,4,1.99,
322,Varnsdorf,CZ,50.91,14.62,44.01,92,0,3.0,
323,Longyearbyen,SJ,78.22,15.64,32.0,94,40,3.36,
324,Chinsali,ZM,-10.54,32.08,75.97,28,0,9.89,
325,Fort Nelson,CA,58.81,-122.7,5.0,84,75,5.08,
326,Vityazevo,RU,44.99,37.27,51.8,71,34,8.95,
327,Sobolevo,RU,54.43,31.9,46.56,90,100,12.53,
328,Port Lincoln,AU,-34.73,135.87,59.02,76,0,16.58,
329,Aripuana,BR,-9.17,-60.63,95.99,38,89,3.74,
330,Laguna,US,38.42,-121.42,57.99,54,1,2.91,
331,Hervey Bay,AU,-25.3,152.85,69.01,70,5,3.0,
332,Moramanga,MG,-18.93,48.2,60.12,95,51,1.19,
333,Troyes,FR,48.33,4.08,55.4,82,0,4.7,
334,Kisante,PH,6.92,125.16,75.2,100,40,2.24,
335,Sept-Iles,CA,50.2,-66.38,34.0,59,70,10.29,
336,Lagoa,PT,39.05,-27.98,61.5,71,0,20.96,
337,Kaberamaido,UG,1.74,33.16,68.38,92,92,4.25,
