City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Gatton,AU,2020-11-04 01:17:24,-27.55,152.28,80.01,44,20,5.82
61,Faya,SA,2020-11-04 01:14:06,18.39,42.45,57.2,93,0,1.23
62,Carnarvon,AU,2020-11-04 01:17:24,-24.87,113.63,75.2,47,0,17.22
63,Ponta Do Sol,PT,2020-11-04 01:17:25,32.67,-17.1,64.4,72,75,25.28
64,San Juan Del Sur,NI,2020-11-04 01:17:25,11.25,-85.87,76.98,88,100,13.62
65,Komsomolskiy,UZ,2020-11-04 01:17:25,40.43,71.72,39.2,48,0,4.7
66,Fujin,CN,2020-11-04 01:17:25,47.26,132.03,27.43,75,0,17.96
67,Howard Springs,AU,2020-11-04 01:17:25,-12.5,131.05,87.8,62,75,5.82
68,Mataura,NZ,2020-11-04 01:17:25,-46.19,168.86,75.18,42,0,4.72
69,Sosnovo,RU,2020-11-04 01:17:26,60.55,30.21,48.99,86,83,10.89
70,Eureka,US,2020-11-04 01:12:49,40.8,-124.16,57.99,90,42,3.31
71,Maceio,BR,2020-11-04 01:17:26,-9.67,-35.74,77.0,88,0,10.29
72,Bredasdorp,ZA,2020-11-04 01:17:26,-34.53,20.04,66.2,93,79,4.7
73,Altagracia De Orituco,VE,2020-11-04 01:14:03,9.86,-66.38,71.69,94,55,3.51
74,Bireun,ID,2020-11-04 01:15:57,5.2,96.7,77.18,84,100,5.55
75,Gambela,ET,2020-11-04 01:17:26,8.25,34.58,72.18,76,0,4.29
76,Paraopeba,BR,2020-11-04 01:17:27,-19.28,-44.4,62.6,93,75,6.93
77,Repcelak,HU,2020-11-04 01:17:27,47.42,17.02,55.99,100,75,1.54
78,Harper,LR,2020-11-04 01:17:27,4.38,-7.72,78.24,88,13,7.25
79,Nikolskoye,RU,2020-11-04 01:17:27,59.7,30.79,48.2,87,90,8.95
80,Dhamnod,IN,2020-11-04 01:17:27,22.22,75.47,67.57,39,0,3.65
81,Saskylakh,RU,2020-11-04 01:17:27,71.92,114.08,-5.08,91,96,2.77
82,Chokurdakh,RU,2020-11-04 01:17:27,70.63,147.92,-15.93,82,0,4.54
83,Busselton,AU,2020-11-04 01:17:28,-33.65,115.33,62.01,68,26,3.0
84,Beloha,MG,2020-11-04 01:17:28,-25.17,45.05,68.07,80,0,3.53
85,Humaita,BR,2020-11-04 01:17:28,-7.51,-63.02,72.93,96,100,1.77
86,Pisco,PE,2020-11-04 01:17:28,-13.7,-76.22,64.4,82,0,10.29
87,Ilulissat,GL,2020-11-04 01:17:28,69.22,-51.1,37.4,74,100,8.05
88,Talcahuano,CL,2020-11-04 01:17:28,-36.72,-73.12,53.6,81,75,6.93
89,Smithers,CA,2020-11-04 01:17:28,54.78,-127.17,42.8,93,75,3.36
90,Saint George,US,2020-11-04 01:13:42,37.1,-113.58,77.0,20,1,5.82
91,Anadyr,RU,2020-11-04 01:17:29,64.75,177.48,6.8,77,0,6.71
92,Warri,NG,2020-11-04 01:17:29,5.52,5.75,77.41,92,100,2.95
93,Ca Mau,VN,2020-11-04 01:17:29,9.18,105.15,80.69,83,100,1.79
94,Aurillac,FR,2020-11-04 01:17:29,44.92,2.45,43.0,93,0,4.7
